feature,lag_days,pearson_r,abs_r,n
change_pct_GLD,1,0.5642517363711321,0.5642517363711321,29
change_pct_SIF,4,-0.5096990399601188,0.5096990399601188,26
volatility_SIF,7,-0.5088950469281374,0.5088950469281374,23
change_pct_SIF,0,0.5058969682093537,0.5058969682093537,30
change_pct_BTC_USD,1,0.46826636513560715,0.46826636513560715,29
change_pct_SIF,1,0.44743070158759307,0.44743070158759307,29
avg_neg_prob,3,-0.44618223227442716,0.44618223227442716,27
volatility_GLD,5,-0.43175221714728856,0.43175221714728856,25
volatility_SIF,3,0.4268137328835624,0.4268137328835624,27
avg_neg_prob,7,0.41593067882815277,0.41593067882815277,23
volatility_BTC_USD,6,0.3731286176668899,0.3731286176668899,24
change_pct_GLD,3,-0.3651398766647316,0.3651398766647316,27
