==========================================================================================
MARKET FLOW JOINED DATASET
==========================================================================================
File    : rafah/modelling/market_flow_outputs/market_flow_joined_dataset.csv
Rows    : 30
Columns : 18

Selected columns preview:
      date  kurs_close  kurs_change_pct  net_sentiment  avg_pos_prob  avg_neg_prob  total_news  change_pct_BTC_USD  change_pct_GLD  change_pct_SIF
2026-06-18     1.15073          -0.8838            0.0      0.522936      0.477064         0.0             -2.3626         -0.3809         -6.2818
2026-06-19     1.14586          -0.4240            0.0      0.326939      0.673061         0.0              1.0245          0.0000          0.0000
2026-06-22     1.14628           0.0367            0.0      0.409280      0.590720         0.0              1.1300         -0.6535         -1.0988
2026-06-23     1.14271          -0.3108            0.0      0.615770      0.384230         0.0             -2.0079         -1.8903         -5.3520
2026-06-24     1.13795          -0.4165            0.0      0.246612      0.753388         0.0             -2.6694         -3.0213         -6.3979
2026-06-25     1.13542          -0.2225            0.0      0.597072      0.402928         0.0             -2.0878          0.9674          0.5099
2026-06-26     1.13617           0.0659            0.0      0.233678      0.766322         0.0              0.4935          1.1287          1.4893
2026-06-29     1.13856           0.2106            0.0      0.773679      0.226321         0.0              1.0180         -1.3516         -1.7596
2026-06-30     1.14220           0.3198            0.0      0.786991      0.213009         0.0             -2.6265         -0.0543          2.2381
2026-07-01     1.14133          -0.0765            0.0      0.505572      0.494428         0.0              0.0000          0.6026          1.0222
2026-07-02     1.14416           0.0000            0.0      0.666970      0.333030         0.0              3.0631          0.0000          0.6990
2026-07-03     1.14247           0.0000            0.0      0.000000      0.000000         0.0              0.0107          0.0165          0.0000
