date,kurs_close,kurs_change_pct,positive_count,negative_count,net_sentiment,avg_pos_prob,avg_neg_prob,total_news,change_pct_BTC_USD,change_pct_GLD,change_pct_SIF,close_BTC_USD,close_GLD,close_SIF,volatility_BTC_USD,volatility_GLD,volatility_SIF
2026-06-08,1.15226,-0.7755,0.0,0.0,0.0,0.0,0.0,0.0,-0.2355,0.2599,-0.7513,63090.5898,397.27,68.425,0.028481,0.007445,0.028139
2026-06-09,1.15284,0.0507,0.0,0.0,0.0,0.0,0.0,0.0,-2.2932,-1.6336,-4.8681,61643.7813,390.78,65.094,0.043262,0.029527,0.055755
2026-06-10,1.15354,0.06,1.0,0.0,0.0,0.6160506656,0.3839493344,0.0,-0.3155,-4.1456,-0.7604,61449.2891,374.58,64.599,0.032449,0.02472,0.013119
2026-06-11,1.15356,0.0023,2.0,3.0,0.0,0.4500430782,0.5499569218,0.0,3.4366,3.1342,-1.1053,63561.0547,386.32,63.885,0.039121,0.040926,0.001548
2026-06-12,1.15759,0.3496,1.0,1.0,0.0,0.4865378389,0.5134621611,0.0,-0.0281,0.0569,6.2206,63543.1992,386.54,67.859,0.024468,0.01403,0.016592
2026-06-15,1.16031,0.2344,1.0,1.0,0.0,0.4637084873,0.5362915127,0.0,0.8813,2.5896,3.2523,66289.5,396.55,70.066,0.029406,0.012547,0.0
2026-06-16,1.15942,-0.0765,4.0,0.0,0.0,0.5942341038,0.4057658962,0.0,-1.0392,0.2724,-0.2383,65600.6406,397.63,69.899,0.024341,0.007918,0.0
2026-06-17,1.161,0.1358,3.0,1.0,0.0,0.5733248804,0.4266751196,0.0,-1.8021,-2.271,1.1402,64418.4453,388.6,70.696,0.037861,0.037623,0.031331
2026-06-18,1.15073,-0.8838,2.0,2.0,0.0,0.5229360482,0.4770639518,0.0,-2.3626,-0.3809,-6.2818,62896.4727,387.12,66.255,0.039364,0.017756,0.0
2026-06-19,1.14586,-0.424,0.0,1.0,0.0,0.3269385922,0.6730614078,0.0,1.0245,0.0,0.0,63540.8359,0.0,0.0,0.020552,0.0,0.0
2026-06-22,1.14628,0.0367,1.0,1.0,0.0,0.4092804914,0.5907195086,0.0,1.13,-0.6535,-1.0988,63952.1055,384.59,65.527,0.036536,0.009739,0.0
2026-06-23,1.14271,-0.3108,2.0,1.0,0.0,0.615769562,0.384230438,0.0,-2.0079,-1.8903,-5.352,62668.0195,377.32,62.02,0.036017,0.008269,0.001068
2026-06-24,1.13795,-0.4165,0.0,2.0,0.0,0.2466118115,0.7533881885,0.0,-2.6694,-3.0213,-6.3979,60995.1328,365.92,58.052,0.064912,0.020089,0.03652
2026-06-25,1.13542,-0.2225,4.0,1.0,0.0,0.5970722773,0.4029277227,0.0,-2.0878,0.9674,0.5099,59721.6758,369.46,58.348,0.062185,0.011587,0.000637
2026-06-26,1.13617,0.0659,0.0,1.0,0.0,0.2336776213,0.7663223787,0.0,0.4935,1.1287,1.4893,60016.4297,373.63,59.217,0.039819,0.01264,0.000463
2026-06-29,1.13856,0.2106,1.0,0.0,0.0,0.7736790219,0.2263209781,0.0,1.018,-1.3516,-1.7596,60138.3789,368.58,58.175,0.030675,0.011295,0.026766
2026-06-30,1.1422,0.3198,3.0,0.0,0.0,0.7869907126,0.2130092874,0.0,-2.6265,-0.0543,2.2381,58558.8594,368.38,59.477,0.03428,0.012399,0.057843
2026-07-01,1.14133,-0.0765,1.0,2.0,0.0,0.5055716278,0.4944283722,0.0,0.0,0.6026,1.0222,0.0,370.6,60.085,0.0,0.020549,0.052037
2026-07-02,1.14416,0.0,3.0,0.0,0.0,0.6669698214,0.3330301786,0.0,3.0631,0.0,0.699,60352.5586,0.0,60.505,0.024443,0.0,0.024132
2026-07-03,1.14403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0107,0.0165,0.0,61369.16,378.6,0.0,4.6386,0.0442,0.0
