,importance
volatility_GLD,0.18350570711030245
change_pct_SIF,0.170809350647054
close_BTC_USD,0.16134317444641566
change_pct_BTC_USD,0.0939201687284539
avg_pos_prob,0.0675666983906655
volatility_BTC_USD,0.0638878376036082
close_GLD,0.059864455580911136
change_pct_GLD,0.04743696510286611
avg_neg_prob,0.04710068266783793
volatility_SIF,0.04538599558198784
close_SIF,0.034188355259880926
positive_count,0.01826987788781408
negative_count,0.006720730992202265
total_news,0.0
net_sentiment,0.0
