,pearson_r
kurs_change_pct,1.0
change_pct_SIF,0.5058969682093536
avg_pos_prob,0.2673586235296133
change_pct_BTC_USD,0.17816947084524704
negative_count,-0.13626945711311603
volatility_GLD,0.13181455597280595
volatility_SIF,0.11115205784717243
positive_count,0.08379565628552717
change_pct_GLD,0.06787446350403123
close_BTC_USD,0.06595101288981133
avg_neg_prob,0.0491666092026175
volatility_BTC_USD,0.0364519446796781
close_SIF,0.03582308286222845
close_GLD,0.02507832247464331
