feature,lag_days,pearson_r,abs_r,n
net_sentiment,0,,,30
net_sentiment,1,,,29
net_sentiment,2,,,28
net_sentiment,3,,,27
net_sentiment,4,,,26
net_sentiment,5,,,25
net_sentiment,6,,,24
net_sentiment,7,,,23
avg_pos_prob,0,0.2673586235296133,0.2673586235296133,30
avg_pos_prob,1,-0.29013479487780647,0.29013479487780647,29
avg_pos_prob,2,0.09563897358725117,0.09563897358725117,28
avg_pos_prob,3,-0.04569292114056309,0.04569292114056309,27
avg_pos_prob,4,-0.34566624211963626,0.34566624211963626,26
avg_pos_prob,5,-0.006747404817635491,0.006747404817635491,25
avg_pos_prob,6,-0.21157424481696913,0.21157424481696913,24
avg_pos_prob,7,0.15103047009664947,0.15103047009664947,23
avg_neg_prob,0,0.04916660920261749,0.04916660920261749,30
avg_neg_prob,1,-0.09494247343717642,0.09494247343717642,29
avg_neg_prob,2,0.19391131518534507,0.19391131518534507,28
avg_neg_prob,3,-0.44618223227442716,0.44618223227442716,27
avg_neg_prob,4,-0.09019641527127539,0.09019641527127539,26
avg_neg_prob,5,-0.18605072614370816,0.18605072614370816,25
avg_neg_prob,6,-0.21515233976045206,0.21515233976045206,24
avg_neg_prob,7,0.41593067882815277,0.41593067882815277,23
total_news,0,,,30
total_news,1,,,29
total_news,2,,,28
total_news,3,,,27
total_news,4,,,26
total_news,5,,,25
total_news,6,,,24
total_news,7,,,23
change_pct_BTC_USD,0,0.17816947084524706,0.17816947084524706,30
change_pct_BTC_USD,1,0.46826636513560715,0.46826636513560715,29
change_pct_BTC_USD,2,0.0010801627906106954,0.0010801627906106954,28
change_pct_BTC_USD,3,-0.16634157711722755,0.16634157711722755,27
change_pct_BTC_USD,4,0.18934613891132257,0.18934613891132257,26
change_pct_BTC_USD,5,-0.21812065376034664,0.21812065376034664,25
change_pct_BTC_USD,6,-0.28781003768693275,0.28781003768693275,24
change_pct_BTC_USD,7,-0.07589484654319333,0.07589484654319333,23
change_pct_GLD,0,0.06787446350403127,0.06787446350403127,30
change_pct_GLD,1,0.5642517363711321,0.5642517363711321,29
change_pct_GLD,2,-0.03787290117580291,0.03787290117580291,28
change_pct_GLD,3,-0.3651398766647316,0.3651398766647316,27
change_pct_GLD,4,-0.1783597418570328,0.1783597418570328,26
change_pct_GLD,5,-0.28908638056879316,0.28908638056879316,25
change_pct_GLD,6,-0.049515198406333935,0.049515198406333935,24
change_pct_GLD,7,0.021882828526175967,0.021882828526175967,23
change_pct_SIF,0,0.5058969682093537,0.5058969682093537,30
change_pct_SIF,1,0.44743070158759307,0.44743070158759307,29
change_pct_SIF,2,-0.09327696035367371,0.09327696035367371,28
change_pct_SIF,3,-0.13376518951929034,0.13376518951929034,27
change_pct_SIF,4,-0.5096990399601188,0.5096990399601188,26
change_pct_SIF,5,-0.25699589369242937,0.25699589369242937,25
change_pct_SIF,6,-0.1880441546578164,0.1880441546578164,24
change_pct_SIF,7,-0.16660093581861396,0.16660093581861396,23
volatility_BTC_USD,0,0.036451944679678105,0.036451944679678105,30
volatility_BTC_USD,1,-0.34755304021321626,0.34755304021321626,29
volatility_BTC_USD,2,0.06337955399991492,0.06337955399991492,28
volatility_BTC_USD,3,0.26244399112079997,0.26244399112079997,27
volatility_BTC_USD,4,-0.03329411255213387,0.03329411255213387,26
volatility_BTC_USD,5,0.14157812226430075,0.14157812226430075,25
volatility_BTC_USD,6,0.3731286176668899,0.3731286176668899,24
volatility_BTC_USD,7,0.17121646295585488,0.17121646295585488,23
volatility_GLD,0,0.13181455597280595,0.13181455597280595,30
volatility_GLD,1,-0.15442354167378117,0.15442354167378117,29
volatility_GLD,2,0.20551201379393588,0.20551201379393588,28
volatility_GLD,3,0.31928430179791145,0.31928430179791145,27
volatility_GLD,4,0.002050462255164321,0.002050462255164321,26
volatility_GLD,5,-0.43175221714728856,0.43175221714728856,25
volatility_GLD,6,-0.28343806677959416,0.28343806677959416,24
volatility_GLD,7,-0.3236285112164251,0.3236285112164251,23
volatility_SIF,0,0.1111520578471724,0.1111520578471724,30
volatility_SIF,1,-0.10898920402980226,0.10898920402980226,29
volatility_SIF,2,0.0743657623244914,0.0743657623244914,28
volatility_SIF,3,0.4268137328835624,0.4268137328835624,27
volatility_SIF,4,0.16477134157935533,0.16477134157935533,26
volatility_SIF,5,0.07092235849597792,0.07092235849597792,25
volatility_SIF,6,0.241141744004467,0.241141744004467,24
volatility_SIF,7,-0.5088950469281374,0.5088950469281374,23
